Date,Rank,Alpha,ISIN,Instrument,Primary,ICB Sub-Sector,Status,Free Float Pass,Liquidity Pass,Gross Market Capitalisation,ALSI Universe,Cumulative Market Capitalisation,ALSI Current,ALSI Change,ALSI New,Index Current,Index Change,Index New,TOPI Current,TOPI Change,TOPI New,DTOP Current,DTOP Change,DTOP New,RESI Current,RESI Change,RESI New,FINI Current,FINI Change,FINI New,INDI Current,INDI Change,INDI New,PCAP Current,PCAP Change,PCAP New,SAPY Current,SAPY Change,SAPY New,ALTI Universe,ALTI Current,ALTI Change,ALTI New,Board,Notes
2019-12-23 00:00:00.000,NULL,TCS,ZAE000116208,Total Client Services Ld,NULL,9533,NULL,TRUE,FALSE,4901346.9,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALTI,Suspended
2019-12-23 00:00:00.000,150,TDH,ZAE000152658,Tradehold Ltd,NULL,8633,NULL,TRUE,FALSE,3266832125,TRUE,0.9914082045803615,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,194,TEX,ZAE000190542,Texton Property Fund Ltd,NULL,8674,NULL,TRUE,TRUE,1128200298,TRUE,0.9975507181676799,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,53,TFG,ZAE000148466,The Foschini Group Limited,NULL,5371,NULL,TRUE,TRUE,38096538940.74,TRUE,0.9066215302406863,ALSI,NULL,ALSI,MIDC,NULL,MIDC,TOPI,,TOPI,DTOP,,DTOP,NULL,NULL,NULL,NULL,NULL,NULL,INDI,,INDI,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,144,TGO,ZAE000272522,Tsogo Sun Hotels LTD,NULL,5753,NULL,TRUE,TRUE,3829833520.32,TRUE,0.9897164979931605,ALSI,NULL,ALSI,SMLC,NULL,SMLC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,NULL,THA,CY0103562118,Tharisa plc,NULL,1775,"Foreign ",TRUE,FALSE,3785400000,TRUE,0.9899738883402579,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,69,TKG,ZAE000044897,Telkom SA SOC Ltd,NULL,6535,NULL,TRUE,TRUE,23722018491.99,TRUE,0.9416485723125836,ALSI,NULL,ALSI,MIDC,NULL,MIDC,"    ",,"    ","    ",,"    ",NULL,NULL,NULL,NULL,NULL,NULL,INDI,,INDI,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,27,TLM,ZAE000093324,Telemaster Holdings Ltd,NULL,6535,NULL,TRUE,FALSE,29400000,FALSE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TRUE,ALTI,NULL,ALTI,ALTI,NULL
2019-12-23 00:00:00.000,221,TMT,ZAE000013991,Trematon Capital Inv Ltd,NULL,8985,NULL,TRUE,FALSE,580271976.05,TRUE,0.9990403237823166,FLED,NULL,FLED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,NULL
2019-12-23 00:00:00.000,NULL,TON,ZAE000096541,Tongaat Hulett Ltd,NULL,3577,NULL,TRUE,TRUE,1784836204.26,FALSE,0,ALSI,"ALSI DEL ",NULL,SMLC,"SMLC DEL ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,NULL,NULL,NULL,ALSI,Suspended
